company_name, id, domain, naics
"CA, Inc.", 5435c69ed3bcc5b2e4d580e393e373d3, 'ca.com', 511210
"VeriSign, Inc.", 4d2fc9afd378a62f17bb371f756f000e, 0-0-0-webhosting.com, 518210
"NEC Corporation", 0490b305539f9a2d4fb47a454c3a0dda, 001.jp.nec.com, 334111
"Telefonica SA", 9817db4287c6c2399054e82908b96852, 0011.e.telefonica.net, 524128
"Telefonica SA", 9817db4287c6c2399054e82908b96852, 0030.e.telefonica.net, 524128
"Warnaco", 32a003abbdbde139d0a0fd457cb8e92c, 0172d0.capitalistco-op.com, 315240
"1-800-DENTIST", e957e092d372944d92406bc8b1e1127c, 1-800dentist.com, 541613
"Lens.com", 604502a700a7ed4d21f0d0b39dc5868b, 1-save-on-lens.com, 333314
"voip.com", d17d5138c18e987dbe6860df1f1d6ea5, 1-voip.com, 532490
"Service Lighting and Electrical Supplies, Inc.", 902ffea5ab668febfecf75bfc7773db8, 1000bulbs.com, 442299
"octane", 70f67b665209be33033365fd5ba29fe7, 100bestbuy.com, 811121
"Book Expo", 197217da6a1ff4f228746edcb1200ec9, 100percentdesign.co.uk, 424920
"National Hardware Show", fbf970e1b77ccf01b208c252913dffff, 100percentdesign.co.uk, 561990
"Franchise.com", ed8afe0e7d3748e681fdb5635c6dbd08, 101mobility-franchise.com, 811213
"Hostdime.com, Inc.", 926b239286949d28abbb71d3a779a785, 101shop.us, 517110
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 10388.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 110544.mailer.surveygizmo.com, 541370
"1105 Media", ea02850972eb16d5b9a358ddeff899df, 1105media.com, 511120
"1154 LILL Studio", 559c9bc5a3ce167042408801f97bf4d8, 1154lill.com, 448150
"1300 Flowers", a90b57f8df3b34b2fea2900d8207f85e, 1300flowers.com.au, 541611
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 13270.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 138874.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 156086.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 160400.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 16288.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 166778.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 173380.mailer.surveygizmo.com, 541370
"SurveyGizmo", da954ee42087082c84a7822113739e9c, 178818.mailer.surveygizmo.com, 541370
"1-800 Contacts", f8255c593182c30b38c55e7238fbc07e, 1800contacts.com, 446130
"1-800-DENTIST", e957e092d372944d92406bc8b1e1127c, 1800dentist.com, 541613
"Finestationery.com", 5ede292243e6e1a4514b8d68c2110211, 1800flowers.com, 453110
"1-800-FLOWERS.COM, Inc.", b4034cc5001f0e795cc04e90b8b5374f, 1800flowers.com, 453110
"The Plow & Hearth Inc", c6f2495797eecbeab14a9ee00ee08359, 1800flowers.com, 453110
"Magic Cabin", e44549f456e3fc484110d94eeda8e1b9, 1800flowers.com, 423920
"Capitol Lighting", 4651833901b7ed29f01878a942c3c1a0, 1800lighting.com, 442299
"1-800-PACK-RAT", c5b7940b61d1c063b83eb649836830ae, 1800packrat.com, 484210
"PetMed Express, Inc.", 2c18aee7b305f6310c18c18e3a539a35, 1800petmeds.com, 446110
"Petmeds", 5d1e90fb32e26201171f402eb94480ef, 1800petmeds.com, 453998
"1800PetMeds", e48ec7a3651ed003f8c061f518de9a4a, 1800petmeds.com, 446110
"1-800-Postcards", 0e03ba84fefad4291d46aeae42c57ec9, 1800postcards.com, 561499
"Home Medical Supply Center, Inc.", e9f585b0f36c093f51a79ae44bc7fd99, 1800wheelchair.com, 423450
"1st Family Mortgage-", 0dbc85aa7532e20cc45406404bb0099c, 1fmc.com, 522390
"MarketWatch", 39f930a304789809cd9015f7c003deb4, 1st-line.com, 519130
"Subsidiary - SA", 4ff5317e75026d4ae00901ef72c3b68a, 1st-line.com, 531210
"Vision", f42087059b37ae7f4d9f0d3a475801a8, 2020lasik-vision.com, 541519
"Christian Aid", b648421cd1440d9d78253f9714306b12, 220triathlon.com, 813211
"Warnaco", 32a003abbdbde139d0a0fd457cb8e92c, 247471.capitalistco-op.com, 315240
"24 Hour Fitness Worldwide, Inc.", 5b5b0027fbae04b7fc56d0556ebffb57, 24hourfit.com, 713940
"24 Hour Fitness", e05b98d34700bea57e189cd244dd6835, 24hourfit.com, 713940
"24 Hour Fitness Worldwide, Inc.", 5b5b0027fbae04b7fc56d0556ebffb57, 24hourfitness.com, 713940
"24 Hour Fitness", e05b98d34700bea57e189cd244dd6835, 24hourfitness.com, 713940
"Warnaco", 32a003abbdbde139d0a0fd457cb8e92c, 294c14.capitalistco-op.com, 315240
"Bank of America Corporation", 64a12bd3536c918cc15ea2b324efe683, 2ealerts9.bankofamerica.com, 522110
"Bank of America-Merrill Lynch", 6b14517e3e95e762e9458f83feec6775, 2ealerts9.bankofamerica.com, 523110
"Banc of America Merchant Services, LLC", 8e8b759466ede978b673b651d549e5a1, 2ealerts9.bankofamerica.com, 522320
"Bank", bd5af1f610a12434c9128e4a399cef8a, 2ealerts9.bankofamerica.com, 522110
"Schering-Plough Corporation", 01f92435e96dd606482ad10e981a2874, 3-pg.com, 325412
"VocalPoint", 4683f2bdf4ab9a89bdc2dcce0b293484, 3-pg.com, 334220
"Procter and Gamble", 4a4f4907cf24fdca5ee0d83706290226, 3-pg.com, 325611
"The Procter & Gamble Company", 6bdc2f17c510a9434ac22b2ba837078a, 3-pg.com, 325611
"Mead Johnson Nutrition", 9739dcd95218e1337ac597362db6f968, 3-pg.com, 311514
"SKII", 99a397b0f2934208b9945ed7e6bc8d8b, 3-pg.com, 325611
"Vidal Sassoon", aae62894168bf1f311341a009d2dec8a, 3-pg.com, 325611
"Olay", d38afb7fd46c8cc534c47990044d937a, 3-pg.com, 325611
"Lenor", f718eb2167f19c346a13c82068889fe1, 3-pg.com, 325611
"Restaurant.com, Inc.", f333a2251f1a10b408466e0a80ca574a, 3-restaurant.com, 519130
"Warnaco", 32a003abbdbde139d0a0fd457cb8e92c, 35e38.capitalistco-op.com, 315240
"GrubHub Inc", 4f898566cb5232dfd2e9fecbc3cd7e28, 362180-app5.grubhub.com, 541512
"Rand North America Inc", a3c967dd916f98f6344a15be2d9f48c6, 3ds.com, 511210
"407 ETR", dcd570b35767a1de9ddb69feb7ec10b7, 407etr.com, 488490
"Chase Retail", 388e6c9c3067b8384a660e77b4a92378, 500fast-cash.com, 711219
"JP Morgan Chase", 6c1048e3fcf890e5b71b5a846fb1fe07, 500fast-cash.com, 522110
"ETIS", 71413d8ced0df5badf3c0db20b14838a, 500fast-cash.com, 511110
"Chase", cd8e7918010a87cc619849e00265c9a6, 500fast-cash.com, 522110
"Ford Media", e4ace5ba38d0729e9d3fc774c712ddf1, 500fast-cash.com, 541810
"Denny's Corporation", 811b11d8e7fade7d0af1ea6e8f2db4ba, 50state.dennys.com, 722511
